App,Category,Rating,Reviews,Size,Installs,Type,Price,ContentRating,Genres,LastUpdated,Current Ver,Android Ver
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33.0,1000000.0,Free,0.0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39.0,5000000.0,Free,0.0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12.0,100000.0,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25.0,500000.0,Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000.0,Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11.0,100000.0,Free,0.0,Everyone,Art & Design,"July 19, 2018",2.2,4.0 and up
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11.0,100000.0,Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up
Floor Plan Creator,ART_AND_DESIGN,4.1,36639,,5000000.0,Free,0.0,Everyone,Art & Design,"July 14, 2018",Varies with device,2.3.3 and up
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24.0,10000000.0,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000.0,Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16.0,10000000.0,Free,0.0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000.0,Free,0.0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up
AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372,,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"August 3, 2018",Varies with device,Varies with device
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",Varies with device,4.0.3 and up
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,500000.0,Free,0.0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up
Hairstyles step by step,BEAUTY,4.6,4369,14.0,100000.0,Free,0.0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up
Filters for Selfie,BEAUTY,4.3,8572,25.0,1000000.0,Free,0.0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up
Beauty Camera - Selfie Camera,BEAUTY,4.0,113715,,10000000.0,Free,0.0,Everyone,Beauty,"August 3, 2017",Varies with device,Varies with device
Filters for B Live,BEAUTY,4.4,2280,24.0,500000.0,Free,0.0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,100000.0,Free,0.0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,,10000000.0,Free,0.0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,100000.0,Free,0.0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,,10000000.0,Free,0.0,Everyone,Books & Reference,"June 28, 2018",Varies with device,Varies with device
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000.0,Free,0.0,Everyone,Books & Reference,"May 27, 2018",1.91180527,2.3 and up
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17.0,1000000.0,Free,0.0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000.0,Free,0.0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up
Ancestry,BOOKS_AND_REFERENCE,4.3,64513,,5000000.0,Free,0.0,Everyone,Books & Reference,"July 31, 2018",Varies with device,Varies with device
HTC Help,BOOKS_AND_REFERENCE,4.2,8342,,10000000.0,Free,0.0,Everyone,Books & Reference,"August 28, 2017",9.00.950462,7.0 and up
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10.0,1000000.0,Free,0.0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000.0,Free,0.0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000.0,Free,0.0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42.0,500000.0,Free,0.0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up
Google Primer,BUSINESS,4.4,62272,18.0,10000000.0,Free,0.0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up
Call Blocker,BUSINESS,4.6,188841,3.2,5000000.0,Free,0.0,Everyone,Business,"June 21, 2018",1.1.13,4.0 and up
Easy Installer - Apps On SD,BUSINESS,4.1,23055,,5000000.0,Free,0.0,Everyone,Business,"June 8, 2018",Varies with device,Varies with device
Genius Scan - PDF Scanner,BUSINESS,4.4,42492,,1000000.0,Free,0.0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14.0,10000000.0,Free,0.0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up
FreshBooks Classic,BUSINESS,4.1,1802,26.0,100000.0,Free,0.0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20.0,500000.0,Free,0.0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48.0,500000.0,Free,0.0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up
Asana: organize team projects,BUSINESS,4.3,20815,10.0,1000000.0,Free,0.0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up
AdWords Express,BUSINESS,4.1,7149,11.0,1000000.0,Free,0.0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5,100000.0,Free,0.0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up
Cisco Webex Meetings,BUSINESS,4.4,108741,28.0,10000000.0,Free,0.0,Everyone,Business,"July 20, 2018",11.1.0,4.3 and up
