words,frequency,Sentiment,Category
great,439,Positive,HEALTH_AND_FITNESS
good,356,Positive,HEALTH_AND_FITNESS
love,350,Positive,HEALTH_AND_FITNESS
like,333,Positive,HEALTH_AND_FITNESS
food,276,Positive,HEALTH_AND_FITNESS
easy,217,Positive,HEALTH_AND_FITNESS
would,216,Positive,HEALTH_AND_FITNESS
day,194,Positive,HEALTH_AND_FITNESS
much,173,Positive,HEALTH_AND_FITNESS
track,170,Positive,HEALTH_AND_FITNESS
calories,157,Positive,HEALTH_AND_FITNESS
time,152,Positive,HEALTH_AND_FITNESS
also,146,Positive,HEALTH_AND_FITNESS
best,139,Positive,HEALTH_AND_FITNESS
weight,134,Positive,HEALTH_AND_FITNESS
using,134,Positive,HEALTH_AND_FITNESS
even,128,Positive,HEALTH_AND_FITNESS
better,127,Positive,HEALTH_AND_FITNESS
free,125,Positive,HEALTH_AND_FITNESS
work,117,Positive,HEALTH_AND_FITNESS
can't,111,Positive,HEALTH_AND_FITNESS
macros,107,Positive,HEALTH_AND_FITNESS
wish,106,Positive,HEALTH_AND_FITNESS
workouts,104,Positive,HEALTH_AND_FITNESS
full,103,Positive,HEALTH_AND_FITNESS
version,103,Positive,HEALTH_AND_FITNESS
keep,102,Positive,HEALTH_AND_FITNESS
new,101,Positive,HEALTH_AND_FITNESS
could,101,Positive,HEALTH_AND_FITNESS
far,100,Positive,HEALTH_AND_FITNESS
used,96,Positive,HEALTH_AND_FITNESS
foods,95,Positive,HEALTH_AND_FITNESS
first,95,Positive,HEALTH_AND_FITNESS
well,93,Positive,HEALTH_AND_FITNESS
need,92,Positive,HEALTH_AND_FITNESS
nice,92,Positive,HEALTH_AND_FITNESS
helpful,91,Positive,HEALTH_AND_FITNESS
see,91,Positive,HEALTH_AND_FITNESS
tracking,90,Positive,HEALTH_AND_FITNESS
add,89,Positive,HEALTH_AND_FITNESS
many,88,Positive,HEALTH_AND_FITNESS
workout,85,Positive,HEALTH_AND_FITNESS
eat,82,Positive,HEALTH_AND_FITNESS
want,82,Positive,HEALTH_AND_FITNESS
tried,80,Positive,HEALTH_AND_FITNESS
help,79,Positive,HEALTH_AND_FITNESS
review,78,Positive,HEALTH_AND_FITNESS
days,78,Positive,HEALTH_AND_FITNESS
meditation,77,Positive,HEALTH_AND_FITNESS
back,76,Positive,HEALTH_AND_FITNESS
go,75,Positive,HEALTH_AND_FITNESS
exercise,72,Positive,HEALTH_AND_FITNESS
every,72,Positive,HEALTH_AND_FITNESS
find,71,Positive,HEALTH_AND_FITNESS
lot,69,Positive,HEALTH_AND_FITNESS
option,69,Positive,HEALTH_AND_FITNESS
daily,68,Positive,HEALTH_AND_FITNESS
phone,67,Positive,HEALTH_AND_FITNESS
calorie,67,Positive,HEALTH_AND_FITNESS
working,66,Positive,HEALTH_AND_FITNESS
log,66,Positive,HEALTH_AND_FITNESS
works,65,Positive,HEALTH_AND_FITNESS
without,65,Positive,HEALTH_AND_FITNESS
able,64,Positive,HEALTH_AND_FITNESS
know,63,Positive,HEALTH_AND_FITNESS
pay,63,Positive,HEALTH_AND_FITNESS
week,62,Positive,HEALTH_AND_FITNESS
meal,62,Positive,HEALTH_AND_FITNESS
use,61,Positive,HEALTH_AND_FITNESS
update,60,Positive,HEALTH_AND_FITNESS
thank,58,Positive,HEALTH_AND_FITNESS
thanks,58,Positive,HEALTH_AND_FITNESS
looking,57,Positive,HEALTH_AND_FITNESS
ads,56,Positive,HEALTH_AND_FITNESS
everything,56,Positive,HEALTH_AND_FITNESS
helps,55,Positive,HEALTH_AND_FITNESS
since,55,Positive,HEALTH_AND_FITNESS
different,55,Positive,HEALTH_AND_FITNESS
healthy,54,Positive,HEALTH_AND_FITNESS
information,54,Positive,HEALTH_AND_FITNESS
body,54,Positive,HEALTH_AND_FITNESS
gives,54,Positive,HEALTH_AND_FITNESS
simple,53,Positive,HEALTH_AND_FITNESS
try,53,Positive,HEALTH_AND_FITNESS
give,53,Positive,HEALTH_AND_FITNESS
start,53,Positive,HEALTH_AND_FITNESS
fix,53,Positive,HEALTH_AND_FITNESS
right,53,Positive,HEALTH_AND_FITNESS
stars,52,Positive,HEALTH_AND_FITNESS
awesome,52,Positive,HEALTH_AND_FITNESS
found,52,Positive,HEALTH_AND_FITNESS
little,52,Positive,HEALTH_AND_FITNESS
amazing,51,Positive,HEALTH_AND_FITNESS
yoga,51,Positive,HEALTH_AND_FITNESS
sure,50,Positive,HEALTH_AND_FITNESS
recommend,50,Positive,HEALTH_AND_FITNESS
exercises,50,Positive,HEALTH_AND_FITNESS
thing,49,Positive,HEALTH_AND_FITNESS
keeps,49,Positive,HEALTH_AND_FITNESS
set,49,Positive,HEALTH_AND_FITNESS
data,49,Positive,HEALTH_AND_FITNESS
database,49,Positive,HEALTH_AND_FITNESS
health,48,Positive,HEALTH_AND_FITNESS
think,48,Positive,HEALTH_AND_FITNESS
meals,48,Positive,HEALTH_AND_FITNESS
carbs,48,Positive,HEALTH_AND_FITNESS
already,47,Positive,HEALTH_AND_FITNESS
features,47,Positive,HEALTH_AND_FITNESS
premium,47,Positive,HEALTH_AND_FITNESS
useful,46,Positive,HEALTH_AND_FITNESS
always,46,Positive,HEALTH_AND_FITNESS
lost,46,Positive,HEALTH_AND_FITNESS
online,46,Positive,HEALTH_AND_FITNESS
search,46,Positive,HEALTH_AND_FITNESS
never,45,Positive,HEALTH_AND_FITNESS
trying,45,Positive,HEALTH_AND_FITNESS
started,45,Positive,HEALTH_AND_FITNESS
fitness,45,Positive,HEALTH_AND_FITNESS
feature,45,Positive,HEALTH_AND_FITNESS
helped,44,Positive,HEALTH_AND_FITNESS
available,44,Positive,HEALTH_AND_FITNESS
feel,44,Positive,HEALTH_AND_FITNESS
however,43,Positive,HEALTH_AND_FITNESS
paid,42,Positive,HEALTH_AND_FITNESS
goals,42,Positive,HEALTH_AND_FITNESS
going,41,Positive,HEALTH_AND_FITNESS
problems,41,Positive,HEALTH_AND_FITNESS
perfect,41,Positive,HEALTH_AND_FITNESS
things,40,Positive,HEALTH_AND_FITNESS
intake,40,Positive,HEALTH_AND_FITNESS
life,39,Positive,HEALTH_AND_FITNESS
music,39,Positive,HEALTH_AND_FITNESS
fit,39,Positive,HEALTH_AND_FITNESS
water,39,Positive,HEALTH_AND_FITNESS
got,38,Positive,HEALTH_AND_FITNESS
enough,38,Positive,HEALTH_AND_FITNESS
items,38,Positive,HEALTH_AND_FITNESS
pretty,38,Positive,HEALTH_AND_FITNESS
problem,37,Positive,HEALTH_AND_FITNESS
something,37,Positive,HEALTH_AND_FITNESS
people,37,Positive,HEALTH_AND_FITNESS
plan,37,Positive,HEALTH_AND_FITNESS
account,37,Positive,HEALTH_AND_FITNESS
enter,37,Positive,HEALTH_AND_FITNESS
that's,36,Positive,HEALTH_AND_FITNESS
done,36,Positive,HEALTH_AND_FITNESS
sleep,36,Positive,HEALTH_AND_FITNESS
issues,36,Positive,HEALTH_AND_FITNESS
one,35,Positive,HEALTH_AND_FITNESS
worth,35,Positive,HEALTH_AND_FITNESS
times,35,Positive,HEALTH_AND_FITNESS
subscription,35,Positive,HEALTH_AND_FITNESS
nutrition,35,Positive,HEALTH_AND_FITNESS
bit,35,Positive,HEALTH_AND_FITNESS
diet,34,Positive,HEALTH_AND_FITNESS
anything,34,Positive,HEALTH_AND_FITNESS
hard,34,Positive,HEALTH_AND_FITNESS
running,34,Positive,HEALTH_AND_FITNESS
even,51,Negative,HEALTH_AND_FITNESS
like,42,Negative,HEALTH_AND_FITNESS
time,40,Negative,HEALTH_AND_FITNESS
phone,40,Negative,HEALTH_AND_FITNESS
log,35,Negative,HEALTH_AND_FITNESS
ads,29,Negative,HEALTH_AND_FITNESS
back,29,Negative,HEALTH_AND_FITNESS
weight,28,Negative,HEALTH_AND_FITNESS
data,28,Negative,HEALTH_AND_FITNESS
work,27,Negative,HEALTH_AND_FITNESS
would,26,Negative,HEALTH_AND_FITNESS
can't,26,Negative,HEALTH_AND_FITNESS
also,25,Negative,HEALTH_AND_FITNESS
using,24,Negative,HEALTH_AND_FITNESS
set,24,Negative,HEALTH_AND_FITNESS
food,23,Negative,HEALTH_AND_FITNESS
calories,23,Negative,HEALTH_AND_FITNESS
days,20,Negative,HEALTH_AND_FITNESS
annoying,19,Negative,HEALTH_AND_FITNESS
go,19,Negative,HEALTH_AND_FITNESS
put,17,Negative,HEALTH_AND_FITNESS
day,17,Negative,HEALTH_AND_FITNESS
used,17,Negative,HEALTH_AND_FITNESS
tried,17,Negative,HEALTH_AND_FITNESS
macros,17,Negative,HEALTH_AND_FITNESS
love,16,Negative,HEALTH_AND_FITNESS
e,16,Negative,HEALTH_AND_FITNESS
disappointed,15,Negative,HEALTH_AND_FITNESS
next,15,Negative,HEALTH_AND_FITNESS
fix,15,Negative,HEALTH_AND_FITNESS
screen,15,Negative,HEALTH_AND_FITNESS
first,15,Negative,HEALTH_AND_FITNESS
edit,15,Negative,HEALTH_AND_FITNESS
things,15,Negative,HEALTH_AND_FITNESS
every,14,Negative,HEALTH_AND_FITNESS
workout,14,Negative,HEALTH_AND_FITNESS
past,14,Negative,HEALTH_AND_FITNESS
track,14,Negative,HEALTH_AND_FITNESS
carbs,14,Negative,HEALTH_AND_FITNESS
tap,13,Negative,HEALTH_AND_FITNESS
